,nama_kabupaten_kota,jumlah_produksi_sampah,tahun
127,KOTA SUKABUMI,172.82,2019
128,KOTA BANDUNG,1575.73,2019
129,KOTA CIREBON,245.0,2019
130,KOTA BEKASI,2060.7,2019
131,KOTA DEPOK,1469.77,2019
132,KOTA CIMAHI,267.74,2019
133,KOTA TASIKMALAYA,291.6,2019
134,KOTA BANJAR,100.67,2019
135,KABUPATEN BOGOR,2977.0,2020
136,KABUPATEN SUKABUMI,1006.0,2020
137,KABUPATEN CIANJUR,1117.0,2020
138,KABUPATEN BANDUNG,1355.0,2020
139,KABUPATEN GARUT,1151.0,2020
140,KABUPATEN TASIKMALAYA,754.0,2020
141,KABUPATEN CIAMIS,564.0,2020
142,KABUPATEN KUNINGAN,540.0,2020
143,KABUPATEN CIREBON,1096.0,2020
144,KABUPATEN MAJALENGKA,518.0,2020
145,KABUPATEN SUMEDANG,438.0,2020
146,KABUPATEN INDRAMAYU,1077.0,2020
147,KABUPATEN SUBANG,1023.0,2020
148,KABUPATEN PURWAKARTA,388.0,2020
149,KABUPATEN KARAWANG,942.0,2020
150,KABUPATEN BEKASI,2258.0,2020
151,KABUPATEN BANDUNG BARAT,1135.0,2020
152,KABUPATEN PANGANDARAN,252.0,2020
153,KOTA BOGOR,567.0,2020
154,KOTA SUKABUMI,181.0,2020
155,KOTA BANDUNG,1630.0,2020
156,KOTA CIREBON,192.0,2020
157,KOTA BEKASI,1923.0,2020
158,KOTA DEPOK,1516.0,2020
159,KOTA CIMAHI,369.0,2020
160,KOTA TASIKMALAYA,285.0,2020
161,KOTA BANJAR,79.0,2020
162,KABUPATEN BOGOR,971.59,2021
163,KABUPATEN SUKABUMI,356.02,2021
164,KABUPATEN CIANJUR,355.69,2021
165,KABUPATEN BANDUNG,1489.04,2021
166,KABUPATEN GARUT,321.17,2021
167,KABUPATEN TASIKMALAYA,172.26,2021
168,KABUPATEN CIAMIS,159.41,2021
169,KABUPATEN KUNINGAN,405.76,2021
170,KABUPATEN CIREBON,242.52,2021
171,KABUPATEN MAJALENGKA,546.54,2021
172,KABUPATEN SUMEDANG,707.75,2021
173,KABUPATEN INDRAMAYU,792.48,2021
174,KABUPATEN SUBANG,739.6,2021
175,KABUPATEN PURWAKARTA,239.72,2021
176,KABUPATEN KARAWANG,614.61,2021
177,KABUPATEN BEKASI,1193.76,2021
178,KABUPATEN BANDUNG BARAT,201.09,2021
179,KABUPATEN PANGANDARAN,46.62,2021
180,KOTA BOGOR,719.72,2021
181,KOTA SUKABUMI,232.06,2021
182,KOTA BANDUNG,1529.04,2021
183,KOTA CIREBON,229.75,2021
184,KOTA BEKASI,1500.77,2021
185,KOTA DEPOK,1418.87,2021
186,KOTA CIMAHI,193.36,2021
187,KOTA TASIKMALAYA,295.87,2021
188,KOTA BANJAR,60.29,2021
